veincle length,veincle weight,axles number,DrivingStyle,perceding veincle time-gap,Lane of the road,veincle speed,perceding veincle speed,perceding veincle weight,perceding veincle length,road condition,Air temprture,perciption type,perciption intensity,relatve humadity,wind direction,wind speed,Lighting condition
1265,10243,2,2,67.84210526315789,1,87.47368421052632,87.05263157894737,8443.78947368421,965.4736842105264,0.0,7.0,0.0,-1.0,95.0,125.15789473684211,0.05263157894736842,0.0
1680,30871,6,2,138.36363636363637,1,82.27272727272727,86.0909090909091,6887.0,920.6363636363636,0.0,4.636363636363637,0.0,-1.0,95.54545454545455,157.8181818181818,6.0,0.0
936,3224,4,2,159.54545454545453,1,85.0909090909091,82.45454545454545,4624.363636363636,773.9090909090909,0.0,1.5454545454545454,1.0,0.0,95.0,64.45454545454545,0.0,0.0
1503,3315,4,2,118.45454545454545,1,82.81818181818181,83.72727272727273,9229.90909090909,1210.5454545454545,0.0,3.5454545454545454,0.0,-1.0,95.0,169.72727272727272,1.3636363636363635,0.0
929,3022,4,2,109.5,1,82.75,82.91666666666667,3058.4166666666665,723.5833333333334,0.0,3.0,0.0,-1.0,95.0,191.0,3.0,0.0
1280,8133,2,2,101.46153846153847,1,89.46153846153847,89.76923076923077,4875.615384615385,899.0,1.0,2.230769230769231,0.0,-1.0,95.0,305.0769230769231,1.6153846153846154,0.0
795,2013,3,2,135.0909090909091,1,79.9090909090909,79.54545454545455,8126.090909090909,918.8181818181819,1.0,5.0,0.0,-1.0,95.0,191.0,3.0,0.0
942,5103,2,2,136.1,1,85.5,83.0,6667.3,948.8,1.0,7.4,0.0,-1.0,95.0,177.0,2.8,0.0
1482,15595,3,1,121.33333333333333,1,87.5,87.33333333333333,9452.833333333334,941.6666666666666,1.0,5.666666666666667,0.0,-1.0,95.0,117.66666666666667,0.08333333333333333,0.0
1674,16189,4,2,101.875,1,81.125,79.25,17267.75,1316.125,1.0,5.0,0.0,-1.0,95.0,242.0,1.0,0.0
